Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,Value Clean,Season,League
Kyle John,504507,€200k,"Nov 26, 2025","Feb 13, 2001",25,1.76,England,[],Right-Back,,Port Vale,,,"Aug 9, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",200000.0,22/23,EPL
Romaine Mundle,696181,€8.00m,"Mar 9, 2026","Apr 24, 2003",22,1.72,England,[],Left Winger,,Sunderland,,,"Feb 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",8000000.0,22/23,EPL
Will Alves,867711,€400k,"Nov 26, 2025","May 4, 2005",20,1.79,England,"['England', 'Portugal']",Attacking Midfield,"              0
0   Left Winger
1  Right Winger",Huddersfield,,,"Sep 1, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",400000.0,22/23,EPL
Chris Francis,855087,,,"Nov 15, 2002",23,,England,['England'],Centre-Back,"           0
0  Left-Back",Without Club,Oxford City,"Jan 8, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,22/23,EPL
Dele Alli,207929,€1.00m,"Apr 9, 2026","Apr 11, 1996",30,1.88,England,"['England', 'Nigeria']",Attacking Midfield,"                  0
0  Central Midfield
1     Left Midfield",Without Club,Como,"Sep 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,22/23,EPL
Eldin Jakupović,2857,,,"Oct 2, 1984",41,1.91,Switzerland,"['Jugoslawien (SFR)', 'Switzerland', 'Bosnia-Herzegovina']",Goalkeeper,,Chattanooga FC,,,"Nov 14, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,22/23,EPL
Jay Stansfield,696346,€18.00m,"Dec 3, 2025","Nov 24, 2002",23,1.87,England,['England'],Centre-Forward,"                    0
0         Left Winger
1  Attacking Midfield",Birmingham,,,"Aug 30, 2024","Jun 30, 2031",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",18000000.0,22/23,EPL
Remi Matthews,196722,€300k,"Dec 9, 2025","Feb 10, 1994",32,1.83,England,[],Goalkeeper,,Crystal Palace,,,"Jul 12, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,22/23,EPL
Will Smallbone,444211,€4.00m,"Mar 3, 2026","Feb 21, 2000",26,1.83,Ireland,[],Central Midfield,,Millwall,,,"Sep 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4000000.0,22/23,EPL
Alfie McCalmont,471368,€375k,"Jan 13, 2026","Mar 25, 2000",26,1.75,Northern Ireland,[],Central Midfield,,Central Coast,,,"Jul 12, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",375000.0,22/23,EPL
Matty Cash,425334,€22.00m,"Dec 9, 2025","Aug 7, 1997",28,1.85,Poland,"['England', 'Poland']",Right-Back,"                  0
0    Right Midfield
1  Central Midfield",Aston Villa,,,"Sep 3, 2020","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",22000000.0,22/23,EPL
John-Kymani Gordon,659331,€175k,"Nov 26, 2025","Feb 13, 2003",23,1.81,England,[],Left Winger,,Rochdale,,,"Mar 27, 2026","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",175000.0,22/23,EPL
Mason Holgate,348623,€3.00m,"Dec 30, 2025","Oct 22, 1996",29,1.87,Jamaica,[],Centre-Back,,Al-Sailiya SC,,,"Jan 10, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,22/23,EPL
Serge Aurier,127032,€800k,"Apr 9, 2026","Dec 24, 1992",33,1.76,Cote d'Ivoire,"[""Cote d'Ivoire""]",Right-Back,"                0
0       Left-Back
1  Right Midfield",Without Club,Persepolis FC,"Jan 2, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",800000.0,22/23,EPL
Owen Goodman,814848,€550k,"Nov 26, 2025","Nov 27, 2003",22,1.93,Canada,[],Goalkeeper,,Barnsley,,,"Jan 15, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",550000.0,22/23,EPL
