Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,Value Clean,Season,League
Fabio Miretti,571607,€16.00m,"Mar 24, 2026","Aug 3, 2003",22,1.8,Italy,[],Central Midfield,,Juventus,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",16000000.0,23/24,Serie A
Mattia Viti,493702,€4.00m,"Dec 23, 2025","Jan 24, 2002",24,1.9,Italy,['Italy'],Centre-Back,,Sampdoria,,,"Jan 16, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4000000.0,23/24,Serie A
Filippo Missori,650993,€1.70m,"Dec 11, 2025","Mar 24, 2004",22,1.82,Italy,[],Right-Back,,Avellino,,,"Aug 29, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1700000.0,23/24,Serie A
Pierre Kalulu,585949,€32.00m,"Mar 24, 2026","Jun 5, 2000",25,1.82,France,[],Centre-Back,,Juventus,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",32000000.0,23/24,Serie A
Jan-Carlo Simić,800948,€12.00m,"Dec 18, 2025","May 2, 2005",20,1.86,Serbia,"['Germany', 'Serbia']",Centre-Back,"            0
0  Right-Back",Al-Ittihad,,,"Sep 10, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",12000000.0,23/24,Serie A
Pietro Terracciano,96254,€1.00m,"Dec 23, 2025","Mar 8, 1990",36,1.93,Italy,[],Goalkeeper,,AC Milan,,,"Jul 18, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,23/24,Serie A
Simone Aresti,41912,,,"Mar 15, 1986",40,1.87,Italy,[],Goalkeeper,,Retired,Cagliari,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,23/24,Serie A
Yacine Adli,395236,€9.00m,"Dec 18, 2025","Jul 29, 2000",25,1.86,France,[],Defensive Midfield,,Al-Shabab,,,"Sep 10, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",9000000.0,23/24,Serie A
Gianluca Pegolo,21872,,,"Mar 25, 1981",45,1.83,Italy,[],Goalkeeper,,Retired,Sassuolo,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,23/24,Serie A
Federico Magro,818898,€300k,"Dec 17, 2025","Jan 10, 2005",21,1.9,Italy,['Italy'],Goalkeeper,,Foggia,,,"Aug 21, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,23/24,Serie A
Christos Mandas,481675,€10.00m,"Mar 9, 2026","Sep 17, 2001",24,1.89,Greece,['Greece'],Goalkeeper,,Bournemouth,,,"Jan 27, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,23/24,Serie A
Giulio Donati,88684,€200k,"Dec 17, 2025","Feb 5, 1990",36,1.78,Italy,[],Right-Back,,Ravenna,,,"Aug 22, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",200000.0,23/24,Serie A
Paulo Azzi,310527,€750k,"Dec 11, 2025","Jul 15, 1994",31,1.88,Brazil,"['Italy', 'Brazil']",Left Midfield,"                0
0       Left-Back
1  Right Midfield",Monza,,,"Aug 11, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",750000.0,23/24,Serie A
Piotr Zieliński,181136,€10.00m,"Dec 23, 2025","May 20, 1994",31,1.8,Poland,"['Italy', 'Poland']",Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Inter,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,23/24,Serie A
Luca Napolitano,745446,€50k,"Dec 17, 2025","Jan 10, 2004",22,1.71,Italy,['Italy'],Attacking Midfield,"                  0
0  Central Midfield",Trapani,,,"Jan 27, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",50000.0,23/24,Serie A
Matteo Cancellieri,550106,€5.50m,"Dec 23, 2025","Feb 12, 2002",24,1.85,Italy,[],Right Winger,,Lazio,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5500000.0,23/24,Serie A
Davide Zappacosta,173859,€3.50m,"Dec 23, 2025","Jun 11, 1992",33,1.82,Italy,[],Right Midfield,,Atalanta,,,"Aug 24, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3500000.0,23/24,Serie A
Emmanuel Gyasi,241076,€1.00m,"Dec 11, 2025","Jan 11, 1994",32,1.81,Ghana,[],Right Midfield,,Palermo,,,"Jul 16, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,23/24,Serie A
Kevin Bonifazi,247377,€300k,"Dec 23, 2025","May 19, 1996",29,1.87,Italy,[],Centre-Back,,Bologna,,,"Jul 2, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,23/24,Serie A
Lorenzo Amatucci,707450,€5.00m,"Dec 30, 2025","Feb 5, 2004",22,1.72,Italy,['Italy'],Defensive Midfield,"                    0
0    Central Midfield
1  Attacking Midfield",UD Las Palmas,,,"Jul 20, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,23/24,Serie A
Lorenzo Montipò,241923,€1.30m,"Mar 24, 2026","Feb 20, 1996",30,1.91,Italy,[],Goalkeeper,,Hellas Verona,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1300000.0,23/24,Serie A
Davide Renzetti,918957,€100k,"Dec 17, 2025","Jun 9, 2006",19,1.94,Italy,['Italy'],Goalkeeper,,Bra,,,"Aug 8, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",100000.0,23/24,Serie A
Daniele Padelli,27807,€150k,"Dec 23, 2025","Oct 25, 1985",40,1.91,Italy,['Italy'],Goalkeeper,,Udinese,,,"Jul 1, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",150000.0,23/24,Serie A
Michele Cerofolini,370701,€500k,"Dec 11, 2025","Jan 4, 1999",27,1.88,Italy,[],Goalkeeper,,Bari,,,"Jul 9, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",500000.0,23/24,Serie A
Alexis Blin,236041,€900k,"Dec 11, 2025","Sep 16, 1996",29,1.86,France,['France'],Defensive Midfield,"                  0
0  Central Midfield
1       Centre-Back",Palermo,,,"Jul 25, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",900000.0,23/24,Serie A
Martin Hongla,398808,€1.20m,"Dec 30, 2025","Mar 16, 1998",28,1.82,Cameroon,[],Defensive Midfield,,Aris Saloniki,,,"Jan 13, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1200000.0,23/24,Serie A
Nahitan Nández,315063,€4.50m,"Dec 18, 2025","Dec 28, 1995",30,1.72,Uruguay,[],Central Midfield,,Al-Qadsiah,,,"Jul 18, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4500000.0,23/24,Serie A
Mikael,642689,€800k,"Nov 24, 2025","May 28, 1999",26,1.84,Brazil,[],Centre-Forward,,CRB,,,"Feb 28, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",800000.0,23/24,Serie A
Charalampos Lykogiannis,136514,€1.50m,"Dec 23, 2025","Oct 22, 1993",32,1.91,Greece,['Greece'],Left-Back,"               0
0  Left Midfield
1    Centre-Back",Bologna,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1500000.0,23/24,Serie A
Martin Erlić,357003,€4.00m,"Dec 15, 2025","Jan 24, 1998",28,1.93,Croatia,[],Centre-Back,,Midtjylland,,,"Aug 4, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4000000.0,23/24,Serie A
Luca Napolitano,745446,€50k,"Dec 17, 2025","Jan 10, 2004",22,1.71,Italy,[],Attacking Midfield,,Trapani,,,"Jan 27, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",50000.0,23/24,Serie A
Andrea Bartoccioni,815550,€50k,"Dec 17, 2025","Mar 14, 2004",22,1.96,Italy,['Italy'],Goalkeeper,,Renate,,,"Jul 12, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",50000.0,23/24,Serie A
Kacper Urbański,699442,€2.50m,"Mar 26, 2026","Sep 7, 2004",21,1.83,Poland,[],Attacking Midfield,,Legia Warszawa,,,"Sep 2, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2500000.0,23/24,Serie A
Federico Di Francesco,38607,€750k,"Dec 11, 2025","Jun 14, 1994",31,1.71,Italy,['Italy'],Left Winger,"                0
0    Right Winger
1  Second Striker",Catanzaro,,,"Aug 30, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",750000.0,23/24,Serie A
Christian Dalle Mura,487829,€400k,"Dec 17, 2025","Feb 2, 2002",24,1.88,Italy,['Italy'],Centre-Back,,Juve Stabia,,,"Jan 14, 2026","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",400000.0,23/24,Serie A
Simone Romagnoli,88706,€250k,"Dec 11, 2025","Feb 9, 1990",36,1.93,Italy,[],Centre-Back,,FC Empoli,,,"Jan 28, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",250000.0,23/24,Serie A
M'Bala Nzola,354814,€4.50m,"Mar 24, 2026","Aug 18, 1996",29,1.85,Angola,[],Centre-Forward,,Sassuolo,,,"Jan 31, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4500000.0,23/24,Serie A
Nicola Sansone,82048,,,"Sep 10, 1991",34,1.74,Italy,"['Italy', 'Germany']",Left Winger,"                0
0  Second Striker
1  Centre-Forward",Retired,Lecce,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,23/24,Serie A
Davide Zappacosta,173859,€3.50m,"Dec 23, 2025","Jun 11, 1992",33,1.82,Italy,['Italy'],Right Midfield,"               0
0     Right-Back
1  Left Midfield",Atalanta,,,"Aug 24, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3500000.0,23/24,Serie A
Warren Bondo,659516,€7.50m,"Mar 24, 2026","Sep 15, 2003",22,1.77,France,"['DR Congo', 'France']",Central Midfield,"                    0
0  Defensive Midfield",Cremonese,,,"Aug 12, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",7500000.0,23/24,Serie A
Francesco Caputo,84765,,,"Aug 6, 1987",38,1.81,Italy,[],Centre-Forward,,Retired,FC Empoli,"Jan 28, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,23/24,Serie A
Alessandro Buongiorno,386446,€35.00m,"Mar 24, 2026","Jun 6, 1999",26,1.9,Italy,[],Centre-Back,,Napoli,,,"Jul 13, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",35000000.0,23/24,Serie A
Luca Gemello,463792,€250k,"Dec 17, 2025","Jul 3, 2000",25,1.9,Italy,[],Goalkeeper,,Perugia,,,"Aug 3, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",250000.0,23/24,Serie A
Olivier Giroud,82442,€1.00m,"Dec 15, 2025","Sep 30, 1986",39,1.92,France,['France'],Centre-Forward,,Lille,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,23/24,Serie A
Gastón Pereiro,264116,€250k,"Dec 11, 2025","Jun 11, 1995",30,1.88,Uruguay,[],Attacking Midfield,,Juventud,,,"Mar 16, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",250000.0,23/24,Serie A
Lazar Samardžić,528833,€17.00m,"Mar 24, 2026","Feb 24, 2002",24,1.84,Serbia,"['Germany', 'Serbia']",Attacking Midfield,"                  0
0  Central Midfield",Atalanta,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",17000000.0,23/24,Serie A
Francesco Camarda,1058368,€15.00m,"Dec 23, 2025","Mar 10, 2008",18,1.89,Italy,['Italy'],Centre-Forward,,Lecce,,,"Jul 7, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",15000000.0,23/24,Serie A
Pietro Pellegri,364133,€1.00m,"Mar 17, 2026","Mar 17, 2001",25,1.89,Italy,[],Centre-Forward,,FC Empoli,,,"Aug 30, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,23/24,Serie A
Ruan,555015,€2.50m,"Mar 12, 2026","Jun 7, 1999",26,1.87,Brazil,['Brazil'],Centre-Back,,Atlético-MG,,,"Aug 25, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2500000.0,23/24,Serie A
Felipe Anderson,159372,€2.00m,"Mar 12, 2026","Apr 15, 1993",32,1.75,Brazil,[],Left Winger,,Palmeiras,,,"Jul 1, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,23/24,Serie A
Pasquale Mazzocchi,250153,€1.70m,"Dec 23, 2025","Jul 27, 1995",30,1.83,Italy,['Italy'],Right-Back,"                0
0  Right Midfield
1   Left Midfield",Napoli,,,"Jan 5, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1700000.0,23/24,Serie A
Fabio Andrea Ruggeri,748720,€1.30m,"Mar 17, 2026","Dec 13, 2004",21,1.84,Italy,['Italy'],Centre-Back,"            0
0   Left-Back
1  Right-Back",Carrarese,,,"Aug 13, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1300000.0,23/24,Serie A
Abdelhamid Sabiri,340394,€1.00m,"Mar 24, 2026","Nov 28, 1996",29,1.86,Morocco,[],Attacking Midfield,,Fiorentina,,,"Jan 30, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,23/24,Serie A
Dylan Bronn,450417,€800k,"Mar 17, 2026","Jun 19, 1995",30,1.85,Tunisia,"['Tunisia', 'France']",Centre-Back,"            0
0  Right-Back",Servette FC,,,"Jul 2, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",800000.0,23/24,Serie A
Koni De Winter,490384,€23.00m,"Mar 24, 2026","Jun 12, 2002",23,1.91,Belgium,[],Centre-Back,,AC Milan,,,"Aug 13, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",23000000.0,23/24,Serie A
Isaac Success,295331,€700k,"Mar 13, 2026","Jan 7, 1996",30,1.82,Nigeria,['Nigeria'],Centre-Forward,"              0
0   Left Winger
1  Right Winger",Al-Ta'awon,,,"Nov 11, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",700000.0,23/24,Serie A
Luca Garritano,205677,€350k,"Dec 17, 2025","Feb 11, 1994",32,1.72,Italy,['Italy'],Attacking Midfield,"                  0
0  Central Midfield
1       Left Winger",Cosenza,,,"Jan 31, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",350000.0,23/24,Serie A
Lautaro Giannetti,225963,€1.50m,"Dec 17, 2025","Nov 13, 1993",32,1.85,Argentina,[],Centre-Back,,Antalyaspor,,,"Aug 13, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1500000.0,23/24,Serie A
Giorgio Altare,354909,€800k,"Dec 11, 2025","Aug 9, 1998",27,1.9,Italy,[],Centre-Back,,Pescara,,,"Feb 2, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",800000.0,23/24,Serie A
Nicolás Domínguez,497291,€16.00m,"Dec 9, 2025","Jun 28, 1998",27,1.79,Argentina,"['Italy', 'Argentina']",Central Midfield,"                    0
0  Defensive Midfield",Nott'm Forest,,,"Sep 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",16000000.0,23/24,Serie A
Diego Demme,82070,€300k,"Mar 13, 2026","Nov 21, 1991",34,1.7,Germany,[],Defensive Midfield,,Hertha BSC,,,"Jul 6, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,23/24,Serie A
Federico Fazio,45314,,,"Mar 17, 1987",39,1.95,Argentina,[],Centre-Back,,Retired,Salernitana,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,23/24,Serie A
Léandre Kuavita,723485,€1.00m,"Mar 13, 2026","May 31, 2004",21,1.8,Belgium,[],Central Midfield,,Standard Liège,,,"Jul 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,23/24,Serie A
Federico Mosca,936595,,,"Aug 8, 2005",20,1.92,Italy,[],Goalkeeper,,Without Club,Legnago,"Oct 15, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,23/24,Serie A
Luca Lipani,724106,€7.50m,"Mar 24, 2026","May 18, 2005",20,1.85,Italy,[],Defensive Midfield,,Sassuolo,,,"Aug 8, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",7500000.0,23/24,Serie A
Eljif Elmas,400489,€14.00m,"Dec 23, 2025","Sep 24, 1999",26,1.84,North Macedonia,[],Attacking Midfield,,Napoli,,,"Sep 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",14000000.0,23/24,Serie A
Emanuele Elia,815554,,,"Dec 19, 2004",21,1.91,Italy,[],Centre-Back,,Chisola,,,"Aug 5, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,23/24,Serie A
Giovanni Di Lorenzo,169880,€10.00m,"Dec 23, 2025","Aug 4, 1993",32,1.83,Italy,['Italy'],Right-Back,"                0
0  Right Midfield
1     Centre-Back",Napoli,,,"Jul 1, 2019","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,23/24,Serie A
Luka Romero,769063,€3.20m,"Dec 29, 2025","Nov 18, 2004",21,1.69,Argentina,[],Right Winger,,CD Cruz Azul,,,"Jan 18, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3200000.0,23/24,Serie A
