Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,Value Clean,Season,League
Aron Dønnum,476836,€5.00m,"Dec 15, 2025","Apr 20, 1998",27,1.78,Norway,['Norway'],Right Midfield,"               0
0  Left Midfield
1   Right Winger",Toulouse,,,"Sep 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,25/26,Ligue 1
Thibault De Smet,340177,€2.00m,"Dec 15, 2025","Jun 5, 1998",27,1.83,Belgium,['Belgium'],Left-Back,"             0
0  Centre-Back",Paris FC,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,25/26,Ligue 1
Marius Courcoul,1075575,€2.50m,"Mar 27, 2026","Jan 1, 2007",19,1.82,France,['France'],Defensive Midfield,"             0
0  Centre-Back
1   Right-Back",Angers SCO,,,"Feb 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2500000.0,25/26,Ligue 1
Amine Sbaï,851220,€2.50m,"Mar 27, 2026","Nov 5, 2000",25,1.75,Morocco,[],Left Winger,,Angers SCO,,,"Oct 8, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2500000.0,25/26,Ligue 1
Samir El Mourabet,1130514,€18.00m,"Mar 27, 2026","Oct 6, 2005",20,1.86,Morocco,[],Central Midfield,,R. Strasbourg,,,"Jul 1, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",18000000.0,25/26,Ligue 1
Ismaël Guerti,860053,€300k,"Mar 27, 2026","Jul 30, 2004",21,1.78,Morocco,"['Morocco', 'France']",Attacking Midfield,"                  0
0  Central Midfield
1       Left Winger",FC Metz,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,25/26,Ligue 1
Tom Negrel,866916,€50k,"Dec 15, 2025","Apr 13, 2003",23,1.92,France,['France'],Goalkeeper,,AJ Auxerre,,,"Jul 10, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",50000.0,25/26,Ligue 1
Ethan Mbappé,903666,€9.00m,"Dec 15, 2025","Dec 29, 2006",19,1.8,France,[],Right Winger,,Lille,,,"Jul 4, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",9000000.0,25/26,Ligue 1
Arthur Masuaku,181380,€2.50m,"Dec 9, 2025","Nov 7, 1993",32,1.79,DR Congo,[],Left-Back,,Lens,,,"Jan 27, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2500000.0,25/26,Ligue 1
Orel Mangala,289592,€10.00m,"Dec 15, 2025","Mar 18, 1998",28,1.78,Belgium,[],Defensive Midfield,,Lyon,,,"Jul 2, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,25/26,Ligue 1
