Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,Value Clean,Season,League
Luca de la Torre,315762,€3.00m,"Dec 11, 2025","May 23, 1998",27,1.77,United States,"['Spain', 'United States']",Central Midfield,"                0
0  Right Midfield
1   Left Midfield",Charlotte,,,"Jan 26, 2026","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,22/23,La Liga
Ander Iru,480958,€100k,"Dec 30, 2025","Aug 22, 1998",27,1.88,Spain,[],Goalkeeper,,Sestao River,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",100000.0,22/23,La Liga
Miguel Gutiérrez,525299,€17.00m,"Dec 23, 2025","Jul 27, 2001",24,1.8,Spain,['Spain'],Left-Back,"                0
0   Left Midfield
1  Right Midfield",Napoli,,,"Aug 19, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",17000000.0,22/23,La Liga
Unai Vencedor,610083,€1.80m,"Mar 16, 2026","Nov 15, 2000",25,1.76,Spain,['Spain'],Central Midfield,"                    0
0  Defensive Midfield",Levante,,,"Sep 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1800000.0,22/23,La Liga
Choco Lozano,131275,€700k,"Mar 26, 2026","Apr 25, 1993",32,1.83,Honduras,"['Spain', 'Honduras']",Centre-Forward,,Santos Laguna,,,"Jul 12, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",700000.0,22/23,La Liga
Andoni Gorosabel,289255,€4.00m,"Dec 12, 2025","Aug 4, 1996",29,1.74,Spain,[],Right-Back,,Athletic Club,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4000000.0,22/23,La Liga
Fidel,149231,€100k,"Mar 18, 2026","Oct 27, 1989",36,1.8,Spain,[],Left Winger,,Eldense,,,"Jul 25, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",100000.0,22/23,La Liga
Juan Cala,67089,,,"Nov 26, 1989",36,1.86,Spain,[],Centre-Back,,Retired,Cádiz CF,"Oct 5, 2023",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,22/23,La Liga
Alejandro Catena,449796,€2.80m,"Dec 12, 2025","Oct 28, 1994",31,1.94,Spain,['Spain'],Centre-Back,,CA Osasuna,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2800000.0,22/23,La Liga
Stefan Mitrovic,143029,€250k,"Dec 10, 2025","May 22, 1990",35,1.89,Serbia,[],Centre-Back,,Partizan,,,"Jan 29, 2026","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",250000.0,22/23,La Liga
Aitor Gismera,646735,€250k,"Dec 30, 2025","Feb 21, 2004",22,1.82,Spain,[],Central Midfield,,Betis Deportivo,,,"Aug 29, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",250000.0,22/23,La Liga
Edu Expósito,506248,€5.00m,"Mar 16, 2026","Aug 1, 1996",29,1.78,Spain,['Spain'],Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Espanyol,,,"Aug 8, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,22/23,La Liga
Ante Budimir,46413,€3.00m,"Dec 12, 2025","Jul 22, 1991",34,1.9,Croatia,"['Jugoslawien (SFR)', 'Croatia']",Centre-Forward,,CA Osasuna,,,"Jul 1, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,22/23,La Liga
Kang-in Lee,557149,€28.00m,"Mar 27, 2026","Feb 19, 2001",25,1.73,"Korea, South","['Korea, South']",Attacking Midfield,"              0
0   Left Winger
1  Right Winger",PSG,,,"Jul 8, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",28000000.0,22/23,La Liga
Adrián Corral,708388,€50k,"Dec 30, 2025","Jan 5, 2003",23,1.79,Spain,['Spain'],Left-Back,"             0
0  Centre-Back",Atl. Madrileño,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",50000.0,22/23,La Liga
Gonzalo Plata,592735,€8.00m,"Dec 10, 2025","Nov 1, 2000",25,1.78,Ecuador,['Ecuador'],Right Winger,"                0
0     Left Winger
1  Centre-Forward",Flamengo,,,"Aug 30, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",8000000.0,22/23,La Liga
Adrián Dela,341263,€3.00m,"Mar 16, 2026","Feb 26, 1999",27,1.79,Spain,['Spain'],Centre-Back,"            0
0  Right-Back",Levante,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,22/23,La Liga
Pedro Bigas,203043,€400k,"Dec 12, 2025","May 15, 1990",35,1.81,Spain,[],Centre-Back,,Elche CF,,,"Jul 7, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",400000.0,22/23,La Liga
Estanis Pedrola,913539,€900k,"Dec 11, 2025","Aug 24, 2003",22,1.85,Spain,[],Left Winger,,UD Las Palmas,,,"Jan 2, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",900000.0,22/23,La Liga
Víctor Camarasa,263856,€300k,"Dec 8, 2025","May 28, 1994",31,1.83,Spain,['Spain'],Central Midfield,"                    0
0  Attacking Midfield",Debrecen,,,"Sep 10, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,22/23,La Liga
Martín Merquelanz,289272,€200k,"Dec 30, 2025","Jun 12, 1995",30,1.76,Spain,[],Left Winger,,Kitchee,,,"Feb 4, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",200000.0,22/23,La Liga
Srdjan Babic,222805,€5.00m,"Dec 16, 2025","Apr 22, 1996",29,1.94,Serbia,[],Centre-Back,,Spartak Moscow,,,"Aug 21, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",5000000.0,22/23,La Liga
Dimitri Foulquier,170472,€1.00m,"Mar 16, 2026","Mar 23, 1993",33,1.83,Guadeloupe,[],Right-Back,,Valencia,,,"Aug 30, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,22/23,La Liga
César de la Hoz,226261,€150k,"Apr 9, 2026","Mar 30, 1992",34,1.79,Spain,['Spain'],Defensive Midfield,"                  0
0  Central Midfield
1       Centre-Back",Without Club,Real Oviedo,"Jul 12, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",150000.0,22/23,La Liga
Ferland Mendy,291417,€6.00m,"Mar 16, 2026","Jun 8, 1995",30,1.8,France,[],Left-Back,,Real Madrid,,,"Jul 1, 2019","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",6000000.0,22/23,La Liga
Dani Parejo,59561,€1.20m,"Dec 12, 2025","Apr 16, 1989",36,1.82,Spain,['Spain'],Central Midfield,"                    0
0  Defensive Midfield
1  Attacking Midfield",Villarreal,,,"Aug 12, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1200000.0,22/23,La Liga
José Pozo,195605,€400k,"Dec 8, 2025","Mar 15, 1996",30,1.71,Spain,['Spain'],Attacking Midfield,"              0
0   Left Winger
1  Right Winger",Pogon Szczecin,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",400000.0,22/23,La Liga
Pape Cheikh,336828,,,"Aug 8, 1997",28,1.8,Senegal,"['Spain', 'Senegal']",Central Midfield,"                    0
0  Defensive Midfield",Promesas E.D.F,,,"Mar 31, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",0.0,22/23,La Liga
Alejandro Balde,636688,€55.00m,"Mar 16, 2026","Oct 18, 2003",22,1.77,Spain,['Spain'],Left-Back,"             0
0  Left Winger",Barcelona,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",55000000.0,22/23,La Liga
Marcos Acuña,60410,€1.20m,"Mar 18, 2026","Oct 28, 1991",34,1.72,Argentina,[],Left-Back,,River Plate,,,"Aug 20, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1200000.0,22/23,La Liga
Sergio Barcia,562058,€1.50m,"Dec 30, 2025","Dec 31, 2000",25,1.86,Spain,['Spain'],Centre-Back,"            0
0  Right-Back",UD Las Palmas,,,"Jul 9, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1500000.0,22/23,La Liga
Pablo Barrios,775605,€60.00m,"Dec 12, 2025","Jun 15, 2003",22,1.81,Spain,[],Central Midfield,,Atlético,,,"Jan 23, 2023","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",60000000.0,22/23,La Liga
