Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,Value Clean,Season,League
Jesse Joronen,131758,€500k,"Dec 11, 2025","Mar 21, 1993",33,1.97,Finland,['Finland'],Goalkeeper,,Palermo,,,"Aug 21, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",500000.0,24/25,Serie A
Tammy Abraham,331726,€20.00m,"Mar 9, 2026","Oct 2, 1997",28,1.94,England,"['England', 'Nigeria']",Centre-Forward,,Aston Villa,,,"Jan 27, 2026","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",20000000.0,24/25,Serie A
Daniele Baselli,134883,€250k,"Dec 11, 2025","Mar 12, 1992",34,1.82,Italy,[],Central Midfield,,Chievo Verona,,,"Feb 2, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",250000.0,24/25,Serie A
Flavius Daniliuc,322655,€3.00m,"Dec 29, 2025","Apr 27, 2001",24,1.88,Austria,[],Centre-Back,,Basel,,,"Sep 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,24/25,Serie A
Elayis Tavsan,462086,€1.50m,"Dec 11, 2025","Apr 30, 2001",24,1.83,Türkiye,[],Right Winger,,Samsunspor,,,"Jan 16, 2026","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1500000.0,24/25,Serie A
Niccolò Chiorra,459697,€350k,"Dec 17, 2025","Mar 16, 2001",25,1.87,Italy,['Italy'],Goalkeeper,,Casarano,,,"Jul 10, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",350000.0,24/25,Serie A
Mohamed Kaba,911328,€2.00m,"Mar 27, 2026","Oct 27, 2001",24,1.85,Guinea,[],Central Midfield,,FC Nantes,,,"Jan 29, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,24/25,Serie A
Pantelis Hatzidiakos,144244,€3.50m,"Dec 15, 2025","Jan 18, 1997",29,1.85,Greece,"['Greece', 'Netherlands']",Centre-Back,,Copenhagen,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3500000.0,24/25,Serie A
Kristjan Asllani,543771,€13.00m,"Dec 23, 2025","Mar 9, 2002",24,1.79,Albania,[],Defensive Midfield,,Besiktas,,,"Jan 30, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",13000000.0,24/25,Serie A
Simone Scuffet,238993,€1.00m,"Dec 23, 2025","May 31, 1996",29,1.93,Italy,['Italy'],Goalkeeper,,Pisa,,,"Jul 23, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,24/25,Serie A
Marco Carnesecchi,459763,€25.00m,"Dec 23, 2025","Jul 1, 2000",25,1.91,Italy,['Italy'],Goalkeeper,,Atalanta,,,"Jul 1, 2019","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",25000000.0,24/25,Serie A
Dany Mota,347253,€3.00m,"Mar 17, 2026","May 2, 1998",27,1.8,Portugal,[],Centre-Forward,,Monza,,,"Jul 1, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,24/25,Serie A
Alessio Romagnoli,197747,€7.00m,"Dec 23, 2025","Jan 12, 1995",31,1.85,Italy,['Italy'],Centre-Back,,Lazio,,,"Jul 12, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",7000000.0,24/25,Serie A
Noah Raveyre,986180,€2.00m,"Mar 23, 2026","Jun 22, 2005",20,1.95,France,['France'],Goalkeeper,,Pau FC,,,"Jul 23, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,24/25,Serie A
Saúl Coco,588426,€9.00m,"Dec 23, 2025","Feb 9, 1999",27,1.87,Equatorial Guinea,"['Spain', 'Equatorial Guinea']",Centre-Back,"                  0
0  Central Midfield
1        Right-Back",Torino,,,"Jul 17, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",9000000.0,24/25,Serie A
Gennaro Iaccarino,703240,€200k,"Dec 17, 2025","Jul 1, 2003",22,1.75,Italy,[],Central Midfield,,Arezzo,,,"Jul 23, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",200000.0,24/25,Serie A
Yann Karamoh,324804,€1.50m,"Dec 18, 2025","Jul 8, 1998",27,1.84,France,[],Left Winger,,Porto,,,"Sep 18, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1500000.0,24/25,Serie A
Danilo Veiga,728485,€2.00m,"Dec 23, 2025","Sep 25, 2002",23,1.83,Portugal,"['Portugal', 'Brazil']",Right-Back,"                    0
0  Defensive Midfield
1    Central Midfield",Lecce,,,"Jan 28, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,24/25,Serie A
Manuel Lazzari,331401,€2.00m,"Mar 24, 2026","Nov 29, 1993",32,1.74,Italy,[],Right-Back,,Lazio,,,"Jul 12, 2019","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,24/25,Serie A
Senan Mullen,983810,€200k,"Dec 11, 2025","Feb 28, 2005",21,1.91,Ireland,[],Centre-Back,,Bohemians,,,"Jan 27, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",200000.0,24/25,Serie A
Youssouf Fofana,569598,€25.00m,"Mar 24, 2026","Jan 10, 1999",27,1.85,France,[],Defensive Midfield,,AC Milan,,,"Aug 17, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",25000000.0,24/25,Serie A
Alessandro Buongiorno,386446,€35.00m,"Mar 24, 2026","Jun 6, 1999",26,1.9,Italy,['Italy'],Centre-Back,"           0
0  Left-Back",Napoli,,,"Jul 13, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",35000000.0,24/25,Serie A
Frank Anguissa,354361,€20.00m,"Mar 24, 2026","Nov 16, 1995",30,1.84,Cameroon,['Cameroon'],Central Midfield,"                    0
0  Defensive Midfield",Napoli,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",20000000.0,24/25,Serie A
Fabio Miretti,571607,€16.00m,"Mar 24, 2026","Aug 3, 2003",22,1.8,Italy,[],Central Midfield,,Juventus,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",16000000.0,24/25,Serie A
Mattia Viti,493702,€4.00m,"Dec 23, 2025","Jan 24, 2002",24,1.9,Italy,['Italy'],Centre-Back,,Sampdoria,,,"Jan 16, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",4000000.0,24/25,Serie A
Pierre Kalulu,585949,€32.00m,"Mar 24, 2026","Jun 5, 2000",25,1.82,France,[],Centre-Back,,Juventus,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",32000000.0,24/25,Serie A
Pietro Terracciano,96254,€1.00m,"Dec 23, 2025","Mar 8, 1990",36,1.93,Italy,[],Goalkeeper,,AC Milan,,,"Jul 18, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,24/25,Serie A
Yacine Adli,395236,€9.00m,"Dec 18, 2025","Jul 29, 2000",25,1.86,France,[],Defensive Midfield,,Al-Shabab,,,"Sep 10, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",9000000.0,24/25,Serie A
Randal Kolo Muani,487969,€22.00m,"Mar 9, 2026","Dec 5, 1998",27,1.87,France,[],Centre-Forward,,Tottenham,,,"Sep 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",22000000.0,24/25,Serie A
Ismaël Konaté,936745,€1.00m,"Dec 11, 2025","Mar 29, 2006",20,1.83,Italy,"['Italy', ""Cote d'Ivoire""]",Centre-Forward,"              0
0   Left Winger
1  Right Winger",Lecco,,,"Jan 30, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1000000.0,24/25,Serie A
Federico Magro,818898,€300k,"Dec 17, 2025","Jan 10, 2005",21,1.9,Italy,['Italy'],Goalkeeper,,Foggia,,,"Aug 21, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,24/25,Serie A
Christos Mandas,481675,€10.00m,"Mar 9, 2026","Sep 17, 2001",24,1.89,Greece,['Greece'],Goalkeeper,,Bournemouth,,,"Jan 27, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",10000000.0,24/25,Serie A
