Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,Value Clean,Season,League
Jaouen Hadjam,750903,€8.00m,"Dec 29, 2025","Mar 26, 2003",23,1.85,Algeria,"['Algeria', 'France']",Left-Back,"               0
0     Right-Back
1  Left Midfield",Young Boys,,,"Jan 19, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",8000000.0,22/23,Ligue 1
Tom Negrel,866916,€50k,"Dec 15, 2025","Apr 13, 2003",23,1.92,France,['France'],Goalkeeper,,AJ Auxerre,,,"Jul 10, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",50000.0,22/23,Ligue 1
Vincent Marchetti,374040,€2.00m,"Dec 15, 2025","Jul 4, 1997",28,1.78,France,[],Central Midfield,,Paris FC,,,"Jan 29, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,22/23,Ligue 1
Alexis Tibidi,750886,€200k,"Apr 9, 2026","Nov 3, 2003",22,1.87,France,[],Attacking Midfield,,Without Club,LASK,"Jul 16, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",200000.0,22/23,Ligue 1
Theocharis Tsingaras,464530,€900k,"Dec 12, 2025","Aug 20, 2000",25,1.75,Greece,['Greece'],Central Midfield,"                    0
0  Defensive Midfield",Atromitos,,,"Aug 26, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",900000.0,22/23,Ligue 1
Alexis Lefebvre,857154,€300k,"Dec 18, 2025","May 21, 2003",22,1.66,France,[],Right Winger,,RFC Lüttich,,,"Aug 20, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,22/23,Ligue 1
Flavius Daniliuc,322655,€3.00m,"Dec 29, 2025","Apr 27, 2001",24,1.88,Austria,[],Centre-Back,,Basel,,,"Sep 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",3000000.0,22/23,Ligue 1
Marquinhos,181767,€30.00m,"Dec 15, 2025","May 14, 1994",31,1.83,Brazil,"['Portugal', 'Brazil']",Centre-Back,"                    0
0  Defensive Midfield
1          Right-Back",PSG,,,"Jul 19, 2013","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",30000000.0,22/23,Ligue 1
Junior Kroupi,955357,€40.00m,"Mar 9, 2026","Jun 23, 2006",19,1.79,France,"[""Cote d'Ivoire"", 'France']",Centre-Forward,"                    0
0         Left Winger
1  Attacking Midfield",Bournemouth,,,"Feb 3, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",40000000.0,22/23,Ligue 1
Stijn Spierings,241501,€1.20m,"Dec 15, 2025","Mar 12, 1996",30,1.88,Netherlands,['Netherlands'],Central Midfield,"                    0
0  Defensive Midfield",Salt Lake,,,"Jan 26, 2026","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",1200000.0,22/23,Ligue 1
Lucas Lavallée,654408,€300k,"Dec 8, 2025","Feb 18, 2003",23,1.87,France,['France'],Goalkeeper,,LB Châteauroux,,,"Jul 25, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,22/23,Ligue 1
Adil Aouchiche,569385,€2.00m,"Mar 13, 2026","Jul 15, 2002",23,1.81,Algeria,[],Attacking Midfield,,FC Schalke 04,,,"Feb 2, 2026","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",2000000.0,22/23,Ligue 1
Souleyman Doumbia,296356,€300k,"Mar 13, 2026","Sep 24, 1996",29,1.78,Cote d'Ivoire,[],Left-Back,,Standard Liège,,,"Jan 24, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",300000.0,22/23,Ligue 1
